Strike, CALL $$$,PUTS $$$, IVCALLS,IVPUTS,DCALL,DPUTS,Timestamp
668,20640913,152404.5,0,9930616.5,6871600,-309365,2025-10-23 16:49:40
667,9524466.5,96335.5,905923.12,7785662.28,2340459,-197706,2025-10-23 16:49:40
666,3937458,67989,625795.21,6579295.47,1364319,-141399,2025-10-23 16:49:40
665,4340316,57075.5,0,6746445.09,1533200,-125937,2025-10-23 16:49:40
664,403434,28680.5,0,3928154.88,402700,-64896,2025-10-23 16:49:40
663,0,32713.5,0,4752233.54,206600,0,2025-10-23 16:49:40
662,1201014,13322,0,2736629.52,200100,0,2025-10-23 16:49:40
661,480150,12908.5,0,2501623.76,97200,0,2025-10-23 16:49:40
660,332153.5,23008.5,0,5453332.5,111800,0,2025-10-23 16:49:40
659,0,8992.5,0,2171380.2,6700,0,2025-10-23 16:49:40
658,125764,8100.5,0,2089257.48,31800,0,2025-10-23 16:49:40
657,41104,12348,0,3040499,8200,0,2025-10-23 16:49:40
680,0,441490,291621.6,57748.6,4696,-48944,2025-10-23 16:49:47
679,996,1772394,270999.98,237209.58,4897,-222732,2025-10-23 16:49:47
678,0,549878,296200.17,76965.36,6111,-79716,2025-10-23 16:49:47
677,3590,804752,503190.72,0,12128,-174500,2025-10-23 16:49:47
676,18797,1211840,1610728.08,216019.24,46878,-232220,2025-10-23 16:49:47
675,54045.5,2304818.5,3232100.52,401082.72,119442,-647628,2025-10-23 16:49:47
674,116027.5,4107838,4661631,1069671.11,239058,-1253325,2025-10-23 16:49:47
673,221111,15846655.5,5288198.4,3451512.02,918090,-9461119,2025-10-23 16:49:47
672,867348,13535465,2014309.6,5204741.08,9479104,-20499314,2025-10-23 16:49:47
671,32474640,555690,0,4033109.75,50675000,-2251038,2025-10-23 16:49:47
670,75344904,232189,0,7938686.97,47610900,-938934,2025-10-23 16:49:47
669,44546008,213274,0,10625728.96,17230100,-431239,2025-10-23 16:49:47
668,20640913,152404.5,0,9930616.5,6871600,-309365,2025-10-23 16:49:47
667,9524466.5,96335.5,905923.12,7785662.28,2340459,-197706,2025-10-23 16:49:47
666,3937458,67989,625795.21,6579295.47,1364319,-141399,2025-10-23 16:49:47
665,4340316,57075.5,0,6746445.09,1533200,-125937,2025-10-23 16:49:47
664,403434,28680.5,0,3928154.88,402700,-64896,2025-10-23 16:49:47
663,0,32713.5,0,4752233.54,206600,0,2025-10-23 16:49:47
662,1201014,13322,0,2736629.52,200100,0,2025-10-23 16:49:47
661,480150,12908.5,0,2501623.76,97200,0,2025-10-23 16:49:47
660,332153.5,23008.5,0,5453332.5,111800,0,2025-10-23 16:49:47
659,0,8992.5,0,2171380.2,6700,0,2025-10-23 16:49:47
658,125764,8100.5,0,2089257.48,31800,0,2025-10-23 16:49:47
657,41104,12348,0,3040499,8200,0,2025-10-23 16:49:47
680,0,441490,292607.76,55625.92,4696,-49476,2025-10-23 16:49:52
679,996,1772394,271979.38,228009.78,4897,-225153,2025-10-23 16:49:52
678,0,549878,297483.48,73881.84,6111,-80592,2025-10-23 16:49:52
677,3590,804752,505737.6,0,12128,-174500,2025-10-23 16:49:52
676,18797,1211840,1621041.24,210063.48,46878,-234952,2025-10-23 16:49:52
675,54045.5,2304818.5,3258377.76,381653.88,119442,-662516,2025-10-23 16:49:52
674,116027.5,4107838,4716614.34,1046275.71,239058,-1253325,2025-10-23 16:49:52
673,221111,15846655.5,5402959.65,3252708.76,918090,-9700641,2025-10-23 16:49:52
672,867348,13535465,2245362.76,4885090.76,8886660,-21194206,2025-10-23 16:49:52
671,32474640,555690,0,3920557.85,50675000,-2626211,2025-10-23 16:49:52
670,75344904,232189,0,7826014.89,47610900,-938934,2025-10-23 16:49:52
669,44546008,213274,0,10530856.38,17230100,-431239,2025-10-23 16:49:52
668,20640913,152404.5,0,9862556.2,6871600,-309365,2025-10-23 16:49:52
667,9524466.5,96335.5,1221294.06,7744144.02,2293177,-197706,2025-10-23 16:49:52
666,3937458,67989,833199.26,6549601.68,1336757,-141399,2025-10-23 16:49:52
665,4340316,57075.5,0,6719998.32,1533200,-125937,2025-10-23 16:49:52
664,403434,28680.5,0,3914526.72,402700,-64896,2025-10-23 16:49:52
663,0,32713.5,0,4738136.14,206600,0,2025-10-23 16:49:52
662,1201014,13322,0,2729259.12,200100,0,2025-10-23 16:49:52
661,480150,12908.5,0,2495449.96,97200,0,2025-10-23 16:49:52
660,332153.5,23008.5,0,5441528.75,111800,0,2025-10-23 16:49:52
659,0,8992.5,0,2166784.2,6700,0,2025-10-23 16:49:52
658,125764,8100.5,0,2085333.41,31800,0,2025-10-23 16:49:52
657,41104,12348,0,3035140.05,8200,0,2025-10-23 16:49:52
680,0,441490,291950.32,57057,4696,-49476,2025-10-23 16:49:57
679,996,1772394,271293.8,234231.75,4897,-222732,2025-10-23 16:49:57
678,0,549878,296627.94,75966.72,6111,-79716,2025-10-23 16:49:57
677,3590,804752,504039.68,0,12128,-174500,2025-10-23 16:49:57
676,18797,1211840,1614478.32,214079.52,46878,-232220,2025-10-23 16:49:57
675,54045.5,2304818.5,3240461.46,394829.76,119442,-655072,2025-10-23 16:49:57
674,116027.5,4107838,4680755.64,1061984.05,239058,-1253325,2025-10-23 16:49:57
673,221111,15846655.5,5324922,3386841.08,918090,-9461119,2025-10-23 16:49:57
672,867348,13535465,2091327.32,5100507.28,9479104,-20499314,2025-10-23 16:49:57
671,32474640,555690,0,3995592.45,50675000,-2251038,2025-10-23 16:49:57
670,75344904,232189,0,7901129.61,47610900,-938934,2025-10-23 16:49:57
669,44546008,213274,0,10595542.23,17230100,-431239,2025-10-23 16:49:57
668,20640913,152404.5,0,9908960.95,6871600,-309365,2025-10-23 16:49:57
667,9524466.5,96335.5,1066681.92,7771822.86,2316818,-197706,2025-10-23 16:49:57
666,3937458,67989,727223.37,6569397.54,1364319,-141399,2025-10-23 16:49:57
665,4340316,57075.5,0,6737629.5,1533200,-125937,2025-10-23 16:49:57
664,403434,28680.5,0,3923612.16,402700,-64896,2025-10-23 16:49:57
663,0,32713.5,0,4747299.45,206600,0,2025-10-23 16:49:57
662,1201014,13322,0,2734049.88,200100,0,2025-10-23 16:49:57
661,480150,12908.5,0,2499771.62,97200,0,2025-10-23 16:49:57
660,332153.5,23008.5,0,5449605,111800,0,2025-10-23 16:49:57
659,0,8992.5,0,2169771.6,6700,0,2025-10-23 16:49:57
658,125764,8100.5,0,2088018.3,31800,0,2025-10-23 16:49:57
657,41104,12348,0,3038806.7,8200,0,2025-10-23 16:49:57
680,0,441490,291950.32,57057,4696,-49476,2025-10-23 16:50:02
679,996,1772394,271293.8,234231.75,4897,-222732,2025-10-23 16:50:02
678,0,549878,296627.94,75966.72,6111,-79716,2025-10-23 16:50:02
677,3590,804752,504039.68,0,12128,-174500,2025-10-23 16:50:02
676,18797,1211840,1614478.32,214079.52,46878,-232220,2025-10-23 16:50:02
675,54045.5,2304818.5,3240461.46,394829.76,119442,-655072,2025-10-23 16:50:02
674,116027.5,4107838,4680755.64,1061984.05,239058,-1253325,2025-10-23 16:50:02
673,221111,15846655.5,5324922,3386841.08,918090,-9461119,2025-10-23 16:50:02
672,867348,13535465,2091327.32,5100507.28,9479104,-20499314,2025-10-23 16:50:02
671,32474640,555690,0,3995592.45,50675000,-2251038,2025-10-23 16:50:02
670,75344904,232189,0,7901129.61,47610900,-938934,2025-10-23 16:50:02
669,44546008,213274,0,10595542.23,17230100,-431239,2025-10-23 16:50:02
668,20640913,152404.5,0,9908960.95,6871600,-309365,2025-10-23 16:50:02
667,9524466.5,96335.5,1066681.92,7771822.86,2316818,-197706,2025-10-23 16:50:02
666,3937458,67989,727223.37,6569397.54,1364319,-141399,2025-10-23 16:50:02
665,4340316,57075.5,0,6737629.5,1533200,-125937,2025-10-23 16:50:02
664,403434,28680.5,0,3923612.16,402700,-64896,2025-10-23 16:50:02
663,0,32713.5,0,4747299.45,206600,0,2025-10-23 16:50:02
662,1201014,13322,0,2734049.88,200100,0,2025-10-23 16:50:02
661,480150,12908.5,0,2499771.62,97200,0,2025-10-23 16:50:02
660,332153.5,23008.5,0,5449605,111800,0,2025-10-23 16:50:02
659,0,8992.5,0,2169771.6,6700,0,2025-10-23 16:50:02
658,125764,8100.5,0,2088018.3,31800,0,2025-10-23 16:50:02
657,41104,12348,0,3038806.7,8200,0,2025-10-23 16:50:02
680,0,441490,291950.32,57057,4696,-49476,2025-10-23 16:50:07
679,996,1772394,271293.8,234231.75,4897,-222732,2025-10-23 16:50:07
678,0,549878,296627.94,75966.72,6111,-79716,2025-10-23 16:50:07
677,3590,804752,504039.68,0,12128,-174500,2025-10-23 16:50:07
676,18797,1211840,1614478.32,214079.52,46878,-232220,2025-10-23 16:50:07
675,54045.5,2304818.5,3240461.46,394829.76,119442,-655072,2025-10-23 16:50:07
674,116027.5,4107838,4680755.64,1061984.05,239058,-1253325,2025-10-23 16:50:07
673,221111,15846655.5,5324922,3386841.08,918090,-9461119,2025-10-23 16:50:07
672,867348,13535465,2091327.32,5100507.28,9479104,-20499314,2025-10-23 16:50:07
671,32474640,555690,0,3995592.45,50675000,-2251038,2025-10-23 16:50:07
670,75344904,232189,0,7901129.61,47610900,-938934,2025-10-23 16:50:07
669,44546008,213274,0,10595542.23,17230100,-431239,2025-10-23 16:50:07
668,20640913,152404.5,0,9908960.95,6871600,-309365,2025-10-23 16:50:07
667,9524466.5,96335.5,1066681.92,7771822.86,2316818,-197706,2025-10-23 16:50:07
666,3937458,67989,727223.37,6569397.54,1364319,-141399,2025-10-23 16:50:07
665,4340316,57075.5,0,6737629.5,1533200,-125937,2025-10-23 16:50:07
664,403434,28680.5,0,3923612.16,402700,-64896,2025-10-23 16:50:07
663,0,32713.5,0,4747299.45,206600,0,2025-10-23 16:50:07
662,1201014,13322,0,2734049.88,200100,0,2025-10-23 16:50:07
661,480150,12908.5,0,2499771.62,97200,0,2025-10-23 16:50:07
660,332153.5,23008.5,0,5449605,111800,0,2025-10-23 16:50:07
659,0,8992.5,0,2169771.6,6700,0,2025-10-23 16:50:07
658,125764,8100.5,0,2088018.3,31800,0,2025-10-23 16:50:07
657,41104,12348,0,3038806.7,8200,0,2025-10-23 16:50:07
680,0,441490,291621.6,57748.6,4696,-48944,2025-10-23 16:50:12
679,996,1772394,270999.98,237209.58,4897,-222732,2025-10-23 16:50:12
678,0,549878,296200.17,76965.36,6111,-79716,2025-10-23 16:50:12
677,3590,804752,503190.72,0,12128,-174500,2025-10-23 16:50:12
676,18797,1211840,1610728.08,216019.24,46878,-232220,2025-10-23 16:50:12
675,54045.5,2304818.5,3232100.52,401082.72,119442,-647628,2025-10-23 16:50:12
674,116027.5,4107838,4661631,1069671.11,239058,-1253325,2025-10-23 16:50:12
673,221111,15846655.5,5288198.4,3451512.02,918090,-9461119,2025-10-23 16:50:12
672,867348,13535465,2014309.6,5204741.08,9479104,-20499314,2025-10-23 16:50:12
671,32474640,555690,0,4033109.75,50675000,-2251038,2025-10-23 16:50:12
670,75344904,232189,0,7938686.97,47610900,-938934,2025-10-23 16:50:12
669,44546008,213274,0,10625728.96,17230100,-431239,2025-10-23 16:50:12
668,20640913,152404.5,0,9930616.5,6871600,-309365,2025-10-23 16:50:12
667,9524466.5,96335.5,905923.12,7785662.28,2340459,-197706,2025-10-23 16:50:12
666,3937458,67989,625795.21,6579295.47,1364319,-141399,2025-10-23 16:50:12
665,4340316,57075.5,0,6746445.09,1533200,-125937,2025-10-23 16:50:12
664,403434,28680.5,0,3928154.88,402700,-64896,2025-10-23 16:50:12
663,0,32713.5,0,4752233.54,206600,0,2025-10-23 16:50:12
662,1201014,13322,0,2736629.52,200100,0,2025-10-23 16:50:12
661,480150,12908.5,0,2501623.76,97200,0,2025-10-23 16:50:12
660,332153.5,23008.5,0,5453332.5,111800,0,2025-10-23 16:50:12
659,0,8992.5,0,2171380.2,6700,0,2025-10-23 16:50:12
658,125764,8100.5,0,2089257.48,31800,0,2025-10-23 16:50:12
657,41104,12348,0,3040499,8200,0,2025-10-23 16:50:12
680,0,441490,291621.6,57748.6,4696,-48944,2025-10-23 16:50:17
679,996,1772394,270999.98,237209.58,4897,-222732,2025-10-23 16:50:17
678,0,549878,296200.17,76965.36,6111,-79716,2025-10-23 16:50:17
677,3590,804752,503190.72,0,12128,-174500,2025-10-23 16:50:17
676,18797,1211840,1610728.08,216019.24,46878,-232220,2025-10-23 16:50:17
675,54045.5,2304818.5,3232100.52,401082.72,119442,-647628,2025-10-23 16:50:17
674,116027.5,4107838,4661631,1069671.11,239058,-1253325,2025-10-23 16:50:17
673,221111,15846655.5,5288198.4,3451512.02,918090,-9461119,2025-10-23 16:50:17
672,867348,13535465,2014309.6,5204741.08,9479104,-20499314,2025-10-23 16:50:17
671,32474640,555690,0,4033109.75,50675000,-2251038,2025-10-23 16:50:17
670,75344904,232189,0,7938686.97,47610900,-938934,2025-10-23 16:50:17
669,44546008,213274,0,10625728.96,17230100,-431239,2025-10-23 16:50:17
668,20640913,152404.5,0,9930616.5,6871600,-309365,2025-10-23 16:50:17
667,9524466.5,96335.5,905923.12,7785662.28,2340459,-197706,2025-10-23 16:50:17
666,3937458,67989,625795.21,6579295.47,1364319,-141399,2025-10-23 16:50:17
665,4340316,57075.5,0,6746445.09,1533200,-125937,2025-10-23 16:50:17
664,403434,28680.5,0,3928154.88,402700,-64896,2025-10-23 16:50:17
663,0,32713.5,0,4752233.54,206600,0,2025-10-23 16:50:17
662,1201014,13322,0,2736629.52,200100,0,2025-10-23 16:50:17
661,480150,12908.5,0,2501623.76,97200,0,2025-10-23 16:50:17
660,332153.5,23008.5,0,5453332.5,111800,0,2025-10-23 16:50:17
659,0,8992.5,0,2171380.2,6700,0,2025-10-23 16:50:17
658,125764,8100.5,0,2089257.48,31800,0,2025-10-23 16:50:17
657,41104,12348,0,3040499,8200,0,2025-10-23 16:50:17
680,0,441490,292279.04,56349.44,4696,-49476,2025-10-23 16:50:23
679,996,1772394,271636.59,231157.08,4897,-222732,2025-10-23 16:50:23
678,0,549878,297055.71,74941.8,6111,-80592,2025-10-23 16:50:23
677,3590,804752,504888.64,0,12128,-174500,2025-10-23 16:50:23
676,18797,1211840,1617759.78,212085.16,46878,-232220,2025-10-23 16:50:23
675,54045.5,2304818.5,3250016.82,388353.48,119442,-655072,2025-10-23 16:50:23
674,116027.5,4107838,4697489.7,1054129.88,239058,-1253325,2025-10-23 16:50:23
673,221111,15846655.5,5361645.6,3320972.53,918090,-9580880,2025-10-23 16:50:23
672,867348,13535465,2168345.04,4992799.02,9479104,-20846760,2025-10-23 16:50:23
671,32474640,555690,0,3958075.15,50675000,-2251038,2025-10-23 16:50:23
670,75344904,232189,0,7863572.25,47610900,-938934,2025-10-23 16:50:23
669,44546008,213274,0,10561043.11,17230100,-431239,2025-10-23 16:50:23
668,20640913,152404.5,0,9884211.75,6871600,-309365,2025-10-23 16:50:23
667,9524466.5,96335.5,1153680.8,7757983.44,2293177,-197706,2025-10-23 16:50:23
666,3937458,67989,789237.87,6559499.61,1350538,-141399,2025-10-23 16:50:23
665,4340316,57075.5,0,6728813.91,1533200,-125937,2025-10-23 16:50:23
664,403434,28680.5,0,3919069.44,402700,-64896,2025-10-23 16:50:23
663,0,32713.5,0,4743070.23,206600,0,2025-10-23 16:50:23
662,1201014,13322,0,2731470.24,200100,0,2025-10-23 16:50:23
661,480150,12908.5,0,2497610.79,97200,0,2025-10-23 16:50:23
660,332153.5,23008.5,0,5445256.25,111800,0,2025-10-23 16:50:23
659,0,8992.5,0,2168392.8,6700,0,2025-10-23 16:50:23
658,125764,8100.5,0,2086572.59,31800,0,2025-10-23 16:50:23
657,41104,12348,0,3036832.35,8200,0,2025-10-23 16:50:23
680,0,441490,292279.04,56349.44,4696,-49476,2025-10-23 16:50:28
679,996,1772394,271636.59,231157.08,4897,-222732,2025-10-23 16:50:28
678,0,549878,297055.71,74941.8,6111,-80592,2025-10-23 16:50:28
677,3590,804752,504888.64,0,12128,-174500,2025-10-23 16:50:28
676,18797,1211840,1617759.78,212085.16,46878,-232220,2025-10-23 16:50:28
675,54045.5,2304818.5,3250016.82,388353.48,119442,-655072,2025-10-23 16:50:28
674,116027.5,4107838,4697489.7,1054129.88,239058,-1253325,2025-10-23 16:50:28
673,221111,15846655.5,5361645.6,3320972.53,918090,-9580880,2025-10-23 16:50:28
672,867348,13535465,2168345.04,4992799.02,9479104,-20846760,2025-10-23 16:50:28
671,32474640,555690,0,3958075.15,50675000,-2251038,2025-10-23 16:50:28
670,75344904,232189,0,7863572.25,47610900,-938934,2025-10-23 16:50:28
669,44546008,213274,0,10561043.11,17230100,-431239,2025-10-23 16:50:28
668,20640913,152404.5,0,9884211.75,6871600,-309365,2025-10-23 16:50:28
667,9524466.5,96335.5,1153680.8,7757983.44,2293177,-197706,2025-10-23 16:50:28
666,3937458,67989,789237.87,6559499.61,1350538,-141399,2025-10-23 16:50:28
665,4340316,57075.5,0,6728813.91,1533200,-125937,2025-10-23 16:50:28
664,403434,28680.5,0,3919069.44,402700,-64896,2025-10-23 16:50:28
663,0,32713.5,0,4743070.23,206600,0,2025-10-23 16:50:28
662,1201014,13322,0,2731470.24,200100,0,2025-10-23 16:50:28
661,480150,12908.5,0,2497610.79,97200,0,2025-10-23 16:50:28
660,332153.5,23008.5,0,5445256.25,111800,0,2025-10-23 16:50:28
659,0,8992.5,0,2168392.8,6700,0,2025-10-23 16:50:28
658,125764,8100.5,0,2086572.59,31800,0,2025-10-23 16:50:28
657,41104,12348,0,3036832.35,8200,0,2025-10-23 16:50:28
680,0,441490,293546.96,53333,0,-50008,2025-10-23 16:50:33
679,996,1772394,273007.75,218035.26,4897,-225153,2025-10-23 16:50:33
678,0,549878,298766.79,70518,6111,-81468,2025-10-23 16:50:33
677,3590,804752,508284.48,0,12128,-174500,2025-10-23 16:50:33
676,18797,1211840,1631354.4,203807.2,46878,-234952,2025-10-23 16:50:33
675,54045.5,2304818.5,3284655,360215.16,119442,-669960,2025-10-23 16:50:33
674,116027.5,4107838,4771597.68,1022211.87,239058,-1270036,2025-10-23 16:50:33
673,221111,15846655.5,5513130.45,3033546.13,918090,-9940163,2025-10-23 16:50:33
672,867348,13535465,2470491.48,4548068.14,8294216,-21889098,2025-10-23 16:50:33
671,32474640,555690,0,3804254.22,50675000,-2626211,2025-10-23 16:50:33
670,75344904,232189,0,7718037.48,47610900,-938934,2025-10-23 16:50:33
669,44546008,213274,0,10431671.41,17230100,-431239,2025-10-23 16:50:33
668,20640913,152404.5,0,9794495.9,6871600,-309365,2025-10-23 16:50:33
667,9524466.5,96335.5,1371887.23,7700648.7,2245895,-197706,2025-10-23 16:50:33
666,3937458,67989,932422.46,6519907.89,1309195,-141399,2025-10-23 16:50:33
665,4340316,57075.5,0,6694810.92,1533200,-125937,2025-10-23 16:50:33
664,403434,28680.5,0,3901547.52,402700,-64896,2025-10-23 16:50:33
663,0,32713.5,0,4724038.74,206600,0,2025-10-23 16:50:33
662,1201014,13322,0,2721520.2,200100,0,2025-10-23 16:50:33
661,480150,12908.5,0,2489276.16,97200,0,2025-10-23 16:50:33
660,332153.5,23008.5,0,5429103.75,111800,0,2025-10-23 16:50:33
659,0,8992.5,0,2162418,6700,0,2025-10-23 16:50:33
658,125764,8100.5,0,2081202.81,31800,0,2025-10-23 16:50:33
657,41104,12348,0,3029781.1,8200,0,2025-10-23 16:50:33
680,0,441490,293218.24,54125.68,0,-49476,2025-10-23 16:50:54
679,996,1772394,272664.96,221497.29,4897,-225153,2025-10-23 16:50:54
678,0,549878,298339.02,71665.56,6111,-81468,2025-10-23 16:50:54
677,3590,804752,507435.52,0,12128,-174500,2025-10-23 16:50:54
676,18797,1211840,1628072.94,205938.16,46878,-234952,2025-10-23 16:50:54
675,54045.5,2304818.5,3276294.06,367584.72,119442,-669960,2025-10-23 16:50:54
674,116027.5,4107838,4754863.62,1030400.26,239058,-1270036,2025-10-23 16:50:54
673,221111,15846655.5,5476406.85,3108995.56,918090,-9820402,2025-10-23 16:50:54
672,867348,13535465,2393473.76,4662725.32,8294216,-21889098,2025-10-23 16:50:54
671,32474640,555690,0,3841771.52,50675000,-2626211,2025-10-23 16:50:54
670,75344904,232189,0,7755594.84,47610900,-938934,2025-10-23 16:50:54
669,44546008,213274,0,10461858.14,17230100,-431239,2025-10-23 16:50:54
668,20640913,152404.5,0,9816151.45,6871600,-309365,2025-10-23 16:50:54
667,9524466.5,96335.5,1328624.2,7714488.12,2245895,-197706,2025-10-23 16:50:54
666,3937458,67989,902379.88,6529805.82,1322976,-141399,2025-10-23 16:50:54
665,4340316,57075.5,0,6702367.14,1533200,-125937,2025-10-23 16:50:54
664,403434,28680.5,0,3906090.24,402700,-64896,2025-10-23 16:50:54
663,0,32713.5,0,4728267.96,206600,0,2025-10-23 16:50:54
662,1201014,13322,0,2724099.84,200100,0,2025-10-23 16:50:54
661,480150,12908.5,0,2491436.99,97200,0,2025-10-23 16:50:54
660,332153.5,23008.5,0,5433452.5,111800,0,2025-10-23 16:50:54
659,0,8992.5,0,2163796.8,6700,0,2025-10-23 16:50:54
658,125764,8100.5,0,2082648.52,31800,0,2025-10-23 16:50:54
657,41104,12348,0,3031473.4,8200,0,2025-10-23 16:50:54
